| File                                          | % Lines          | % Statements     | % Branches     | % Funcs          |
|-----------------------------------------------|------------------|------------------|----------------|------------------|
| script/src/Deploy_Swap.sol                    | X   0% (0/26)    | X   0% (0/25)    | ✓ 100% (0/0)   | X   0% (0/3)     |
| script/src/HarborSwapDeployStack.sol          | X   0% (0/13)    | X   0% (0/7)     | X   0% (0/3)   | X   0% (0/3)     |
| script/src/contracts/Swapper.sol              | X  86% (60/70)   | X  88% (60/68)   | ✓ 100% (0/0)   | X  75% (15/20)   |
| src/swap/Swapper_v1.sol                       | X  96% (25/26)   | ✓ 100% (22/22)   | ✓ 100% (0/0)   | X  89% (8/9)     |
| src/swap/aggregator/OneInchSwapper_v1.sol     | X  97% (37/38)   | ✓ 100% (37/37)   | ✓ 100% (6/6)   | X  80% (4/5)     |
| src/swap/executors/BalancerSwapper_v1.sol     | X  93% (26/28)   | X  96% (25/26)   | X  50% (1/2)   | X  86% (6/7)     |
| src/swap/executors/CurveExchangeLib.sol       | ✓ 100% (8/8)     | ✓ 100% (8/8)     | X  67% (2/3)   | ✓ 100% (1/1)     |
| src/swap/executors/CurveSwapper_v1.sol        | X  93% (27/29)   | X  96% (26/27)   | X  75% (3/4)   | X  86% (6/7)     |
| src/swap/executors/FxSaveWstEthSwapper_v1.sol | X  95% (71/75)   | X  96% (73/76)   | X  57% (4/7)   | X  95% (18/19)   |
| src/swap/executors/UniV3Swapper_v1.sol        | X  92% (22/24)   | X  94% (16/17)   | X  50% (1/2)   | X  86% (6/7)     |
| Total                                         | X  75% (434/578) | X  79% (396/499) | X  63% (46/73) | X  71% (105/147) |
