| Contract                            |   Runtime Size (B) |   Runtime Margin (B) |   Initcode Size (B) |   Deploy Gas |   Deploy Cost ($) |
|-------------------------------------|--------------------|----------------------|---------------------|--------------|-------------------|
| BalancerSwapper_v1                  |              7,345 |               17,231 |               7,825 |    1,547,250 |            154.72 |
| ConfigFxSaveWstEthRoute_ETH_mainnet |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| CurveExchangeLib                    |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| CurveSwapper_v1                     |              8,257 |               16,319 |               8,506 |    1,736,460 |            173.65 |
| FxSaveWstEthSwapper_v1              |              8,357 |               16,219 |               8,606 |    1,757,460 |            175.75 |
| OneInchSwapper_v1                   |              6,819 |               17,757 |               7,299 |    1,436,790 |            143.68 |
| OneInchV6Selectors                  |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| Swapper_v1                          |              5,255 |               19,321 |               5,504 |    1,106,040 |            110.60 |
| UniV3Swapper_v1                     |              7,855 |               16,721 |               8,221 |    1,653,210 |            165.32 |
